Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
69,0,0.011746,0.003737,0.000705,-54.939404,96.310173,15.646460,-0.000636,0.000408,0.002793,-0.639617,-0.823818,0.695558,0.020002,-1.328332,-0.034398,7.470181,99.582687,78.557983
70,0,0.011691,0.003739,0.000690,-54.936203,96.311684,15.640114,0.000594,0.001059,0.002413,-0.622901,-0.715050,1.010219,0.019967,-1.328310,-0.034404,7.471184,99.581673,78.549133
71,0,0.011707,0.003834,0.000614,-54.938927,96.311684,15.633644,-0.000547,0.000403,0.002782,-0.641308,-0.825532,0.689349,0.019908,-1.328300,-0.034397,7.465905,99.584419,78.549019
72,0,0.011732,0.003894,0.000716,-54.939377,96.309143,15.625074,0.000552,0.001053,0.002414,-0.626795,-0.719740,0.992711,0.020140,-1.328325,-0.034317,7.467010,99.582741,78.538078
73,0,0.011767,0.003846,0.000679,-54.943256,96.313148,15.624840,-0.000671,0.000400,0.002782,-0.641364,-0.825991,0.675625,0.020053,-1.328297,-0.034367,7.461508,99.585091,78.540886
74,0,0.011739,0.003793,0.000669,-54.942928,96.311729,15.632585,-0.000628,0.000385,0.002803,-0.645056,-0.830958,0.682288,0.019897,-1.328344,-0.034395,7.464210,99.586479,78.544983
75,0,0.011720,0.003880,0.000647,-54.944580,96.310608,15.645741,-0.000719,0.000471,0.002799,-0.648723,-0.829680,0.697580,0.019941,-1.328236,-0.034424,7.462059,99.579102,78.558601
76,0,0.011919,0.003832,0.000672,-54.942982,96.312866,15.654906,0.000598,0.001053,0.002414,-0.628811,-0.716785,1.025260,0.020051,-1.328331,-0.034238,7.464718,99.580444,78.566658
77,0,0.011780,0.003841,0.000696,-54.943642,96.313400,15.659913,-0.000778,0.000465,0.002830,-0.649681,-0.833656,0.699471,0.016261,-1.328449,-0.036357,7.626420,99.571503,78.466187
78,0,0.011647,0.003784,0.000613,-54.946060,96.312111,15.651731,0.000658,0.001028,0.002422,-0.631138,-0.718620,1.024232,0.019931,-1.328201,-0.034430,7.468786,99.578438,78.558968
79,0,0.011627,0.003770,0.000633,-54.946503,96.312782,15.643159,-0.000718,0.000449,0.002791,-0.644108,-0.830499,0.690345,0.016289,-1.328526,-0.036390,7.627475,99.570000,78.451012
80,0,0.011801,0.003876,0.000665,-54.945126,96.312424,15.635303,-0.000489,0.000330,0.002817,-0.646147,-0.835167,0.692486,0.019938,-1.328315,-0.034362,7.466447,99.584419,78.549667
81,0,0.011758,0.003882,0.000624,-54.943092,96.317245,15.639061,-0.000638,0.000378,0.002847,-0.651006,-0.836749,0.680118,0.020034,-1.328361,-0.034360,7.465962,99.586182,78.552406
82,0,0.011656,0.003758,0.000628,-54.938709,96.315193,15.641326,0.000569,0.001055,0.002397,-0.626490,-0.711212,1.009637,0.016182,-1.328614,-0.036445,7.630378,99.574631,78.447914
83,0,0.011618,0.003828,0.000665,-54.938553,96.312256,15.641840,-0.000668,0.000413,0.002830,-0.647882,-0.835532,0.692669,0.019664,-1.328357,-0.034564,7.471687,99.579407,78.550110
84,0,0.011654,0.003863,0.000710,-54.938801,96.313087,15.638711,0.000568,0.001052,0.002420,-0.628977,-0.715628,1.006147,0.019836,-1.328300,-0.034386,7.468786,99.585037,78.549675
85,0,0.011772,0.003872,0.000663,-54.938610,96.312302,15.632501,0.000581,0.001046,0.002410,-0.630081,-0.716248,1.007948,0.016245,-1.328577,-0.036400,7.631073,99.573509,78.439613
86,0,0.011686,0.003794,0.000717,-54.937885,96.313484,15.630484,-0.000604,0.000367,0.002807,-0.646948,-0.829570,0.678540,0.016312,-1.328657,-0.036277,7.632015,99.571983,78.430756
87,0,0.011787,0.004020,0.000680,-54.943726,96.314522,15.630998,0.000572,0.001054,0.002427,-0.629662,-0.720469,0.995133,0.016100,-1.328647,-0.036435,7.632441,99.574814,78.435188
