Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
69,0,0.003289,0.006731,0.003387,-54.974014,96.339211,15.521286,0.002264,0.001598,0.002771,-0.703284,-0.744661,1.329905,0.007551,-1.319192,-0.032413,8.114683,100.177788,78.218811
70,0,0.003282,0.006704,0.003403,-54.970257,96.332680,15.530980,0.002090,0.001681,0.002776,-0.703885,-0.748184,1.336300,0.007583,-1.319234,-0.032393,8.118234,100.177742,78.223808
71,0,0.003269,0.006794,0.003451,-54.967838,96.328011,15.538857,0.002068,0.001707,0.002753,-0.697653,-0.748325,1.343883,0.007428,-1.319267,-0.032421,8.123516,100.171951,78.233772
72,0,0.003322,0.006904,0.003366,-54.966492,96.332573,15.538089,0.001952,0.001816,0.002769,-0.703585,-0.747101,1.351449,0.007491,-1.319391,-0.032467,8.127334,100.176361,78.225693
73,0,0.003236,0.006720,0.003444,-54.969177,96.336876,15.531806,0.002052,0.001702,0.002735,-0.702191,-0.740691,1.339224,0.007377,-1.319446,-0.032525,8.127412,100.182549,78.225197
74,0,0.003264,0.006881,0.003412,-54.970894,96.342117,15.534180,0.002137,0.001646,0.002737,-0.700954,-0.737132,1.339802,0.010595,-1.320634,-0.030354,8.293357,100.171494,78.106850
75,0,0.003267,0.006913,0.003387,-54.971687,96.340302,15.539211,0.001739,0.001729,0.001280,-0.523028,-0.391994,1.303984,0.007405,-1.319564,-0.032551,8.136598,100.181549,78.222412
76,0,0.003403,0.006766,0.003430,-54.973263,96.337044,15.555130,0.002105,0.001693,0.002728,-0.703948,-0.738345,1.353790,0.009946,-1.319334,-0.031018,8.029154,100.185677,78.302780
77,0,0.003283,0.006939,0.003379,-54.976727,96.339867,15.560654,0.002017,0.001722,0.002764,-0.706108,-0.744440,1.353803,0.013217,-1.320314,-0.028971,8.168839,100.178558,78.213074
78,0,0.003248,0.006788,0.003409,-54.974545,96.339546,15.560806,0.002757,0.002059,0.001759,-0.543419,-0.535797,1.533926,0.010801,-1.320485,-0.030275,8.280105,100.171173,78.140587
